Type, Architecture, Model, Layer, Energy, Latency, Wall time
Constrained, vector256, mobv3, 7, 7.96, 366984, 0.201
Constrained, vector256, mobv3, 8, 217.4, 366984, 0.349
Constrained, vector256, mobv3, 9, 7.91, 363848, 0.244
ConstrainedRehashForced, vector256, mobv3, 9_10, N/A, 225852.0, N/A
Constrained, vector256, mobv3, 10, 13.2, 367584, 0.195
Constrained, vector256, mobv3, 11, 148.95, 568500, 0.335
Constrained, vector256, mobv3, 12, 0.07, 2628, 0.201
Constrained, vector256, mobv3, 13, 0.07, 6132, 0.223
Constrained, vector256, mobv3, 14, 6.65, 85480, 0.482
Constrained, vector256, mobv3, 15, 16.87, 145128, 0.258
Constrained, vector256, mobv3, 16, 328.85, 268128, 0.360
Constrained, vector256, mobv3, 17, 0.07, 5804, 0.215
Constrained, vector256, mobv3, 18, 0.08, 5832, 0.233
Constrained, vector256, mobv3, 19, 161.14, 174048, 0.202
ConstrainedRehashForced, vector256, mobv3, 19_20, N/A, 94176.0, N/A
Constrained, vector256, mobv3, 20, 15.56, 145128, 0.254
Constrained, vector256, mobv3, 21, 328.85, 268128, 0.365
Constrained, vector256, mobv3, 22, 0.07, 5804, 0.208
Constrained, vector256, mobv3, 23, 0.08, 5832, 0.240
Constrained, vector256, mobv3, 24, 161.14, 174048, 0.203
ConstrainedRehashForced, vector256, mobv3, 24_25, N/A, 94176.0, N/A
Constrained, vector256, mobv3, 25, 62.28, 286944, 0.389
Constrained, vector256, mobv3, 26, 18.79, 278928, 0.281
Constrained, vector256, mobv3, 27, 25.55, 101968, 0.253
Constrained, vector256, mobv3, 28, 20.04, 215660, 0.190
Constrained, vector256, mobv3, 29, 2.55, 60180, 0.301
Constrained, vector256, mobv3, 30, 55.22, 74600, 0.219
ConstrainedRehashForced, vector256, mobv3, 30_31, N/A, 54048.0, N/A
Constrained, vector256, mobv3, 31, 12.13, 99200, 0.318
Constrained, vector256, mobv3, 32, 2.0, 55593, 0.274
Constrained, vector256, mobv3, 33, 10.69, 116864, 0.270
ConstrainedRehashForced, vector256, mobv3, 33_34, N/A, 50652.0, N/A
